"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"silver_rep1"	"silver_rep2"	"silver_rep3"	"silver_rep4"	"silver_rep5"	"silver_rep6"	"yellow_rep1"	"yellow_rep2"	"yellow_rep3"	"yellow_rep4"	"yellow_rep5"	"yellow_rep6"
"29"	"TRINITY_DN10039_c0_g1"	-0.533349102126872	5.09817109646146	-2.9525670730578	0.0108754852351039	0.0379111376690393	-3.58312995516438	1476	1622	1510	1415	1476	1588	1213	357	501	707	1002	1351
"30"	"TRINITY_DN10041_c0_g1"	1.62849189316169	1.32225054634479	4.92069243356081	0.000253284746915611	0.00317402584696179	0.653979695520385	35	78	41	78	46	75	89	188	105	125	117	90
"31"	"TRINITY_DN10042_c0_g1"	-0.253809123971136	7.86848260354076	-3.84445176491459	0.00191353158310687	0.0114364264647391	-2.26069707161907	7501	8422	7872	8128	9046	7882	7903	5950	6290	6646	7187	6860
"32"	"TRINITY_DN10050_c0_g4"	-1.01337523768406	2.03792956050073	-5.36723680490154	0.00011401020201455	0.00201048316563375	1.3863605419852	236.73	242.94	255.93	219.39	202.17	249.07	122.25	42.49	42.49	69.67	95.35	112.38
"33"	"TRINITY_DN10056_c0_g1"	-0.721391452140049	3.64159189183227	-3.54848827556161	0.0033977347785395	0.0169193217248728	-2.19516539371025	746.15	510.4	562.35	667.5	796.57	513.22	367.26	151.13	122.97	247.54	327.53	466.31
"34"	"TRINITY_DN10062_c0_g1"	-1.45326003387608	2.97227699621203	-6.68639612890842	1.26569508822911e-05	0.000651873151234444	3.50557189443032	652	512	560	509.01	439	422	169	80	48	128	171	232
"35"	"TRINITY_DN10062_c0_g2"	-1.36098772853346	2.18488625544035	-7.67999585593283	2.8230405341076e-06	0.000379627660013976	5.01224005525486	333	285	299	297.99	251	283	93	61	35	66	103	111
"36"	"TRINITY_DN10064_c0_g1"	0.742744508868987	1.2493193605265	3.12599302263753	0.00775316096988918	0.0299912749153546	-2.67226312346768	83.15	114.96	83	72.29	79	30.06	80	71.37	84.35	74.2	78.1	92.3
"37"	"TRINITY_DN100759_c0_g1"	1.2712474813423	-0.840224541704271	3.6982565492668	0.00253942219138789	0.0138589450007415	-1.39694886604662	17	15	11	19	14	11	19	28	23	39	14	18
"38"	"TRINITY_DN10079_c1_g2"	-0.81411246890354	0.575521465537565	-3.0515378051018	0.00896652655784081	0.0330800100423767	-2.71983173262059	66	90	105.12	79.64	80	61	25	18	15	24	53	61
"39"	"TRINITY_DN10084_c0_g1"	-1.16653710994997	2.74118680834115	-5.30414037549592	0.000127415541540653	0.00213680993577928	1.21345205916992	421	300	312	524	407	469	134	75	65	121	185	157
"40"	"TRINITY_DN10091_c0_g1"	1.12654628526587	3.17587518198534	4.05202047208612	0.00128383012871362	0.00875135213999385	-1.16316286982972	422	393	133	237.05	133	280	443.99	379	263.63	303	382	398
"41"	"TRINITY_DN10091_c0_g2"	3.08061707312818	-1.10029137936377	5.09693731814428	0.000184250656121672	0.0026359783240177	0.986195285948984	12.63	8.01	3.03	5.99	5.99	6.82	32.46	17	23	108	74.95	17
"42"	"TRINITY_DN10093_c0_g2"	-1.34417441798464	-0.740328291238997	-3.19140969580504	0.00682283798942307	0.0274291443740317	-2.30539667640413	49	27	42	46	46	22	19	13	16	6	3	9
"43"	"TRINITY_DN10095_c0_g1"	-0.638118170043683	0.456338003552995	-3.40470404324011	0.00449750137956707	0.0205275604533426	-2.05306971531572	83	66	67	64	72	58	40	18	17	33	32	36
"44"	"TRINITY_DN10096_c0_g1"	-0.642641673550624	3.40204069279064	-4.22025036469987	0.000931587298913384	0.00704761321703021	-0.8698351809894	592	430.45	532	516.71	603	452.63	296.42	141.87	123.12	270.41	275.79	290.06
"45"	"TRINITY_DN10096_c0_g2"	-0.712842095502748	3.44504974895783	-3.45804840060673	0.00405281087868269	0.0191042938155894	-2.33957705146372	523	505	499	507	633	620	187	188	121	182	340	441
"46"	"TRINITY_DN10097_c0_g1"	-1.22344624441511	0.988769446381055	-4.66400105694264	0.000405484461122394	0.00416109515451485	0.224655815585887	104	108	117	146	101	167	52	15	24	28	49	50
"47"	"TRINITY_DN1010_c0_g1"	-0.643889061968702	5.5703144082294	-2.84055104672725	0.0135232503694006	0.0442684528587511	-3.87022834194569	2025	2276	2064	2057	2325	2085	1732	549	477	1118	1041	2359
"48"	"TRINITY_DN1010_c0_g2"	-0.453748637698025	4.17198220807161	-3.04992636719206	0.00899477369120734	0.0331651615862051	-3.2448442498816	889.78	630	931	772	894	730	504	323	323	317	400	710
"49"	"TRINITY_DN1010_c1_g1"	-1.36687217843034	2.81492308050674	-4.38086290296673	0.000687674853897162	0.00577906914902906	-0.476197954977615	450	469	563	382	484	378	210	29	65	104	206	233
"50"	"TRINITY_DN10100_c1_g1"	1.6185270267459	1.82006927458413	3.86299576224098	0.00184625383182342	0.0111470489214102	-1.3429528343335	97	78	100	54	43	140	132	397	105	81	150	276
"51"	"TRINITY_DN10101_c0_g2"	0.506501936946963	6.20669027292499	5.68980939224	6.51382333362867e-05	0.00145568766027616	1.43040091258167	2404	2097	2216	2135	2261	2027	3205	2430	2808	2539	2514	2343
"52"	"TRINITY_DN10102_c0_g1"	0.638218717375463	3.78140586147644	5.25813301862602	0.000138220802998195	0.00225012094190648	0.99643337388735	484.16	433.32	473.76	485.23	386.78	333.15	505.56	450.85	384.87	499.78	516.08	446.73
"53"	"TRINITY_DN10106_c0_g1"	-0.818730853470952	5.51896866936774	-6.59798592273626	1.45562727783186e-05	0.000683512855047909	3.08012562645332	1782	2106	2293	2359	2285	2256	1348	633	681	1089	1061	1161
"54"	"TRINITY_DN10106_c1_g1"	-1.10506420016529	0.465777678704476	-3.98087192919124	0.00147146040613416	0.00957762804369809	-0.978544941591754	64	77	86	107	97	64	38	8	14	34	29	37
"55"	"TRINITY_DN10107_c0_g1"	-1.02929687596001	1.04098449718517	-3.94840909486339	0.00156617254268995	0.00994862969707534	-1.0937637026726	121	131	109	109	108	134	65	22	13	43	46	62
"56"	"TRINITY_DN10108_c0_g2"	0.991430426360608	2.15254347691576	3.11184833179454	0.00797037685843189	0.0305258283670372	-2.81727320727947	294	92	110	72	96	180	206	156	179	181	113	164
"57"	"TRINITY_DN10109_c0_g1"	-1.77976010013202	-1.67777949383371	-3.21913571878965	0.00646296259658569	0.0263645646682695	-2.17932377935045	43	33	11	20	20	24	9	6	0	3	8	4
"58"	"TRINITY_DN10109_c0_g2"	-0.897352066465199	2.05829682891869	-3.31974034752486	0.00530938317581927	0.0230281454225114	-2.40219065104913	242	177	287	223	260	198	137	35	38	65	107	177
"59"	"TRINITY_DN10110_c0_g1"	0.678848424492993	5.54877852247476	6.93144703780239	8.63802143482028e-06	0.000551425338071871	3.60380364021033	1433	1290	1183	1505	1298.56	1385	1937	1823	1553.17	1742	1634	1738
"60"	"TRINITY_DN10116_c0_g1"	0.576931536087996	5.08466833353432	3.18349514590405	0.00692919017977718	0.0277188825980148	-3.14719951375147	984	940	1168	998	1277	836	866	1159	1587	1425	935	1424
"61"	"TRINITY_DN1012_c0_g1"	0.645895917797324	5.4250409000503	3.11045340648217	0.00799212368067362	0.0305901099773377	-3.34236944209891	1143	1702.96	1047.86	1187.9	1086.91	1465.03	1677	2114	1824.06	1724	1156.98	1203.07
"62"	"TRINITY_DN10127_c1_g1"	0.981536060153936	2.09958127929089	2.90675365481921	0.011890196844594	0.0403346802944632	-3.19503893558707	211	137	113	136	148	42	139	264	131	167	99	204
"63"	"TRINITY_DN1013_c0_g1"	0.69762917920648	4.13224641403542	3.36265082130462	0.00488244060923062	0.0218267771789524	-2.64246442738529	498	403	562	591	562	596	616	711	839	619	405	648
"64"	"TRINITY_DN1013_c0_g2"	-0.658157655385717	3.24420910026867	-3.2919150314359	0.0056060614769279	0.0239436457472528	-2.62886966613187	452	473	381	495	503	539	275	100	133	243	169	371
"65"	"TRINITY_DN10131_c0_g1"	1.6911585908939	-0.956048109180761	3.7621262388313	0.00224372264948116	0.0127566267404442	-1.27235967531815	10	11	10	18	8	17	22	42	7	42	28	19
"66"	"TRINITY_DN10132_c0_g2"	0.363770369121387	6.82310142793471	3.52573051689344	0.00355176279926528	0.0174216247237733	-2.74304774655944	3846	3553	3334	3623	3622	2760	3702	4429	4621	3676	3619	3836
"67"	"TRINITY_DN10134_c0_g1"	1.19264551480997	-0.787943711439775	3.1814021795774	0.00695759011188817	0.0278055088508973	-2.33438430023223	15	10	15	25	18	13	12	18	27	20	22	50
"68"	"TRINITY_DN10136_c0_g1"	-1.79918394110006	2.48015300695511	-4.32076994949838	0.000770147677982382	0.00625883364624099	-0.540880731443977	501	220	562	601	582	224	161	48	19	99	122	112
"69"	"TRINITY_DN10138_c0_g2"	0.354587910770315	5.88247583221438	3.31231645561242	0.00538696255712593	0.0232806039013139	-3.02251573316861	1916.34	1988.14	1791.81	1824.3	2005.2	1633.36	1749.81	1937.77	2018.21	2404.25	1791.65	2002.28
"70"	"TRINITY_DN10139_c0_g1"	-0.52968641520449	4.21572442488868	-2.92930593313092	0.0113795286984277	0.0391674517532496	-3.48032796564537	891	763	768	948	987	772	684	256	190	409	562	599
"71"	"TRINITY_DN1014_c0_g1"	-0.967315882596235	1.83469823238904	-4.04575857444371	0.00129931319136177	0.00882537473730698	-0.996682965696788	281	148	211	196	229	155	128	42	31	82	69	84
"72"	"TRINITY_DN10142_c1_g1"	-0.949514203573877	-0.897983306249984	-2.93525364876964	0.0112484953679391	0.0388524514800426	-2.75405056163738	26	51	32	30	31	16	17	7	4	9	15	8
"73"	"TRINITY_DN10146_c0_g2"	-0.949235342480016	0.0446422824757745	-3.14452620504433	0.0074774496806683	0.0292772654761993	-2.48299499721512	95.66	49.26	49.9	63.75	46.54	46.99	24.7	13.18	19.45	17.46	9.98	39.51
"74"	"TRINITY_DN10150_c0_g1"	-0.957809235652263	3.26285402403759	-4.84754750436707	0.00028938593608453	0.00341816726178913	0.327778486963275	555.37	447	586	517	550.24	504	261.15	129	72	177	258	286
"75"	"TRINITY_DN10150_c0_g2"	0.677466272902686	3.71757592005183	2.98786494944135	0.0101524601963195	0.0360461580989415	-3.29314879441785	465	391	472	340	402.8	361	421	646	579	433	450	313
"76"	"TRINITY_DN10154_c0_g1"	-0.952636198435555	5.04020611226469	-5.15179036834464	0.000167016498785035	0.0024984713398239	0.640520918592284	1798	1711	1642	1632	1763	1463	742	295	334	841	903	1150
"77"	"TRINITY_DN10156_c0_g1"	-0.808431588764653	2.02050997337879	-4.17625287197761	0.00101283369589642	0.00742524636842978	-0.774313768304032	186	253	221	279	169	194	108	54	45	96	79	121
